#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,00:18.5,ENTER,37.37,613,0,22907.81,SHL ,0,,6.23042E+18,A,,,,,203
BHP,20130205,00:18.6,DELETE,,,,,,0,,6.23042E+18,A,,,,,297
BHP,20130205,00:18.6,ENTER,37.37,697,0,26046.89,,0,,6.23042E+18,A,,,,,297
BHP,20130205,00:18.7,DELETE,,,,,,0,,6.23042E+18,A,,,,,297
BHP,20130205,00:18.7,AMEND,37.69,3826,,144201.94,,0,,6.23042E+18,A,10:00:10,37.69,4350,,297
BHP,20130205,00:18.7,AMEND,37.37,13,,485.81,,0,,6.23042E+18,A,10:00:02,37.39,13,,297
BHP,20130205,00:18.7,ENTER,37.37,4112,0,153665.44,,0,,6.23042E+18,A,,,,,297
BHP,20130205,00:19.1,DELETE,,,,,,0,,6.23042E+18,A,,,,,217
BHP,20130205,00:19.1,ENTER,37.37,750,0,28027.5,,0,,6.23042E+18,A,,,,,217
BHP,20130205,00:19.1,ENTER,37.36,2000,0,74720,,0,6.23042E+18,,B,,,,112,
BHP,20130205,00:19.4,ENTER,37.34,1,0,37.34,,0,6.23042E+18,,B,,,,210,
