#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,10:09:06.050,ENTER,37.33,1,,37.33,,,0,1,A,,,,,
BHP,20130205,10:09:06.050,ENTER,37.33,1,,37.33,,,0,1,B,,,,,
BHP,20130205,10:09:06.312,ENTER,37.32,1,,37.32,,,0,1,A,,,,,
BHP,20130205,10:09:08.003,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:09:08.003,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:09:08.522,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:09:08.522,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:09:09.884,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:09:09.884,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:09:15.205,ENTER,37.33,1,,37.33,,,0,1,B,,,,,
BHP,20130205,10:09:20.390,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:09:20.405,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:09:20.531,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:09:23.202,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:09:26.022,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:09:26.023,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:09:27.470,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:09:40.065,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:09:40.172,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:09:41.295,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:09:42.291,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:09:44.039,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:09:53.286,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:10:07.938,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:10:08.139,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:10:09.214,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:10:09.333,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:10:12.905,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:10:18.115,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:10:19.379,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:10:32.047,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:10:43.735,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:10:57.199,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:11:00.011,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:11:11.702,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:11:18.360,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:11:37.606,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:12:05.125,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:12:05.848,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:12:05.848,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:12:13.003,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:12:13.025,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:12:13.047,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:12:14.528,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
